PATH,PATH_WITHOUT_REVISION,PART_NUMBER,REVISION,PRODUCT_NAME,PRODUCTION_STATE,INDENT_LEVEL,UOM,TRACKING,IS_CONSUMABLE_STORABLE,PARENT_BOM,PARENT_REVISION,TOP_LEVEL_BOM,TOP_LEVEL_REVISION,QUANTITY,PROCUREMENT_INTENT,ADJUSTED_QUANTITY,ADJUSTED_PROCUREMENT_INTENT,GLOBAL_ALTERNATE_PART_NUMBERS,SUBSTITUTE_PART_NUMBERS,Supply Plan and On-Hand Alternates,Latest PO,Latest Supplier,Latest PO Creation Date,Product,Variant,System,Subsystem,Gross Demand for BOM Line in past 8 weeks,Net Total Demand for Part Number in past 8 weeks,Current Week Realized Demand Consumption (each),Gross Demand for BOM Line in next 8 weeks,Net Total Demand for Part Number in next 8 weeks,"Quantity Received, 8-Week Rolling Average (each)","Quantity Received, Average Since Last Receipt (each)",Current On-Hand Quantity (each),On Hand Delta to Current Week Demand (each),Current Quarantine Quantity (each),Current Week Realized Supply (each),"Total Supply Plan, next 8 weeks (each)","Average Supply Plan, next 8 weeks (each)","Quantity Received, 8-Week Rolling Average (each) with alternates","Quantity Received, Average Since Last Receipt (each) with alternates",Current On-Hand Quantity (each) with alternates,Current Quarantine Quantity (each) with alternates,Current Week Realized Supply (each) with alternates,"Total Supply Plan, next 8 weeks (each) with alternates","Average Supply Plan, next 8 weeks (each) with alternates",On Hand Inventory Status,Supply Plan Status,Avg Shipments Status
|20000-007|E|,|20000-007|,20000-007,E,"ZIP, P2",Development,0,Unit,serial,False,,,20000-007,E,1.0,make,1.0,make,,,,,,,Aircraft,P2 EV2,Aircraft TLA,Aircraft TLA,120.0,115.0,5.0,15.0,10.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|0109350-000|A|,|20000-007|0109350-000|,0109350-000,A,"UPPER FOAM WITH COMP LIMITER, ZIP, P2",Commercial Operations,1,Unit,,False,20000-007,E,20000-007,E,1.0,make,1.0,make,,,,,,,Aircraft,P2 EV2,Upper Foam,Upper Foam,120.0,120.0,0.0,15.0,15.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|0109350-000|A|22623-012|A|,|20000-007|0109350-000|22623-012|,22623-012,A,"UPPER FOAM, UPPER FOAM ASSY, ZIP, P2",Commercial Operations,2,Unit,,False,0109350-000,A,20000-007,E,1.0,buy,1.0,zipline_buy,,,,102616,"Duobangmei New Materials (Dongguan) Co., Ltd",2025-12-04 11:10:05.333585,Aircraft,P2 EV2,Upper Foam,Upper Foam,120.0,120.0,0.0,15.0,15.0,2.5,0.2,230.0,215.0,20.0,0.0,0.0,0.0,2.5,0.2,230.0,20.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|0109350-000|A|34475-000|B|,|20000-007|0109350-000|34475-000|,34475-000,B,"9MM COMP LIMITER, UPPER FOAM ASSY, ZIP, P2",Commercial Operations,2,Unit,,False,0109350-000,A,20000-007,E,8.0,buy,8.0,zipline_buy,,,,101363,HORD RAPIDTOOLS MANUFACTURING LIMITED,2025-09-18 12:31:48.526252,Aircraft,P2 EV2,Upper Foam,Upper Foam,960.0,560.0,400.0,120.0,-280.0,0.0,0.00845888538754765,331.0,611.0,5423.0,0.0,0.0,0.0,0.0,0.00845888538754765,331.0,5423.0,0.0,0.0,0.0,>= 3 weeks of demand,>= 100% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|18480-006|M|,|20000-007|18480-006|,18480-006,M,"PARALAND ASSY, ZIP, P2",Commercial Operations,1,Unit,serial,False,20000-007,E,20000-007,E,1.0,make,1.0,make,,,,,,,Aircraft,P2 EV2,Paraland,Paraland,120.0,106.0,14.0,15.0,1.0,0.0,0.0,72.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|18480-006|M|02084-000|A|,|20000-007|18480-006|02084-000|,02084-000,A,GORE VENT,Commercial Operations,2,Unit,,True,18480-006,M,20000-007,E,1.0,buy,1.0,zipline_buy,,,,104826,Sealing Devices Inc,2026-04-09 12:52:29.168838,Aircraft,P2 EV2,Paraland,Paraland,120.0,764.0,0.0,15.0,806.0,162.5,0.0007692307692307692,2593.0,2496.0,0.0,0.0,0.0,0.0,162.5,0.0007692307692307692,2593.0,0.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,>= 100% of total demand past 8 weeks
|20000-007|E|18480-006|M|07685-000|B|,|20000-007|18480-006|07685-000|,07685-000,B,"COTS, PT30, 8MM, BHS",Commercial Operations,2,Unit,,True,18480-006,M,20000-007,E,2.0,buy,2.0,zipline_buy,,,,101985,"Unisteel Technology (China) Co., Ltd",2025-12-31 10:21:10.925530,Aircraft,P2 EV2,Paraland,Paraland,240.0,6220.0,1500.0,30.0,6955.0,0.0,0.00038571427999999997,70985.0,71490.0,0.0,0.0,0.0,0.0,0.0,0.00038571427999999997,70985.0,0.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|18480-006|M|13051-000|A|,|20000-007|18480-006|13051-000|,13051-000,A,"COTS, THREADLOCKER, LOCTITE 243",Commercial Operations,2,Unit,lot,True,18480-006,M,20000-007,E,2.0,buy,2.0,zipline_buy,,,,,,,Aircraft,P2 EV2,Paraland,Paraland,240.0,1166.0,50.0,30.0,1302.0,43.75,0.04,417.0,312.0,0.0,0.0,0.0,0.0,43.75,0.04,417.0,0.0,0.0,0.0,0.0,>= 2 weeks and < 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|18480-006|M|19351-003|E|,|20000-007|18480-006|19351-003|,19351-003,E,"PISTON, PARALAND, ZIP, P2",Commercial Operations,2,Unit,,False,18480-006,M,20000-007,E,1.0,buy,1.0,zipline_buy,,,,102188,Fong Chen Plastic Technology Ind.(Suzhou) Co LTD,2025-10-28 14:53:52.841374,Aircraft,P2 EV2,Paraland,Paraland,120.0,322.0,10.0,15.0,406.0,0.0,0.013857143,716.0,683.0,0.0,0.0,0.0,0.0,0.0,0.013857143,716.0,0.0,0.0,0.0,0.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,< 50% of total demand past 8 weeks
|20000-007|E|18480-006|M|19354-006|A|,|20000-007|18480-006|19354-006|,19354-006,A,"PARACHUTE ASSY, PARALAND, ZIP, P2",Commercial Operations,2,Unit,,False,18480-006,M,20000-007,E,1.0,buy,1.0,zipline_buy,,,,104007,TechChutes LLC,2026-02-24 16:52:41.707193,Aircraft,P2 EV2,Paraland,Paraland,120.0,322.0,10.0,15.0,406.0,83.125,0.00571428,556.0,523.0,0.0,25.0,200.0,25.0,83.125,0.00571428,556.0,0.0,25.0,200.0,25.0,>= 3 weeks of demand,< 50% of total demand next 8 weeks,>= 100% of total demand past 8 weeks
